camNum	frameNum	sysClock	buffer
0	1	166169438	1
0	2	10	1
0	3	43	1
0	4	90	1
0	5	122	1
0	6	171	1
0	7	202	1
0	8	250	1
0	9	282	1
0	10	331	1
0	11	362	1
0	12	410	1
0	13	442	1
0	14	493	1
0	15	522	1
0	16	571	1
0	17	602	1
0	18	650	1
0	19	682	1
0	20	730	1
0	21	762	1
0	22	811	1
0	23	842	1
0	24	890	1
0	25	922	1
0	26	970	1
0	27	1019	1
0	28	1051	1
0	29	1099	1
0	30	1130	1
0	31	1178	1
0	32	1211	1
0	33	1259	1
0	34	1291	1
0	35	1338	1
0	36	1370	1
0	37	1418	1
0	38	1450	1
